run,split_seed,acc_logreg,acc_rf
0,89250953,0.9766081871345029,0.9298245614035088
1,773956048,0.9766081871345029,0.9649122807017544
2,654571518,0.9766081871345029,0.935672514619883
3,438878439,0.9590643274853801,0.9707602339181286
4,433015235,0.9824561403508771,0.9883040935672515
5,858597919,0.9707602339181286,0.9590643274853801
6,201469535,0.9707602339181286,0.9707602339181286
7,94177347,0.9766081871345029,0.9707602339181286
8,526478978,0.9824561403508771,0.9766081871345029
9,975622351,0.9824561403508771,0.9532163742690059
10,735752370,0.9707602339181286,0.9473684210526315
11,761139701,0.9883040935672515,0.9707602339181286
12,717477276,0.9824561403508771,0.9473684210526315
13,786064305,0.9941520467836257,0.9707602339181286
14,513226573,0.9766081871345029,0.9707602339181286
15,128113632,0.9766081871345029,0.9590643274853801
16,839748229,0.9707602339181286,0.9473684210526315
17,450385937,0.9649122807017544,0.9415204678362573
18,500351915,0.9824561403508771,0.9766081871345029
19,370798024,0.9824561403508771,0.9707602339181286
20,182549636,0.9707602339181286,0.9532163742690059
21,926764988,0.9883040935672515,0.9532163742690059
22,781567455,0.9824561403508771,0.9473684210526315
23,643865119,0.9883040935672515,0.9590643274853801
24,402414364,0.9532163742690059,0.9766081871345029
25,822761613,0.9649122807017544,0.9707602339181286
26,545429118,0.9883040935672515,0.9590643274853801
27,443414198,0.9649122807017544,0.9532163742690059
28,450459553,0.9883040935672515,0.9766081871345029
29,227238721,0.9766081871345029,0.9590643274853801
